Občina,Kategorija,Tip,Register,Naslov,Leto,Št. izd,Zaporedna št. ,Link,Opombe
Sv. Jurij v Slov. Goricah,Ceste,,MUV,Odlok o občinskih cestah v občini Sv. Jurij v Slov. Goricah,2008,30,556,http://www.medobcinski.si/files/2008/predpisi/1229671437_556.pdf,
Sv. Jurij v Slov. Goricah,Ceste,,MUV,Odlok o kategorizaciji občinskih cest v občini Sveti Jurij v Slovenskih goricah,2008,30,557,http://www.medobcinski.si/files/2008/predpisi/1229671465_557.pdf,
Sv. Jurij v Slov. Goricah,Ceste,,MUV,Odlok o spremembah Odloka o kategorizaciji občinskih cest v Občini Sveti Jurij v Slovenskih goricah,2010,12,207,http://www.medobcinski.si/files/2010/predpisi/1276243695_207.pdf,
Sv. Jurij v Slov. Goricah,Ceste,,MUV,Odlok o načinu opravljanja rednega vzdrževanja občinskih javnih cest in drugih prometnih površin v občini Sveti Jurij v Slovenskih goricah,2013,13,269,http://www.medobcinski.si/files/2013/predpisi/1373780116_269.pdf,
Sv. Jurij v Slov. Goricah,Odpadki,,MUV,Odlok o načinu opravljanja obveznih lokalnih gospodarskih javnih služb ravnanja s komunalnimi odpadki v občini Sv. Jurij v Slov. goricah ,2015,24,442,http://www.medobcinski.si/files/2015/predpisi/1450216765_MUV%2024%20%20442.pdf,
Sv. Jurij v Slov. Goricah,Komunalne in padavinske vode,,MUV,Odlok o načinu opravljanja lokalne gospodarske javne službe odvajanja in čiščenja komunalne in padavinske odpadne vode v Občini Sveti Jurij v Slovenskih goricah,2014,6,95,http://www.medobcinski.si/files/2014/predpisi/1395779174_MUV%2006%202014%2095.pdf,
Sv. Jurij v Slov. Goricah,Komunalne in padavinske vode,,MUV,Odlok o spremembi odloka o načinu opravljanja lokalne gospodarske javne službe odvajanja in čiščenja komunalne in padavinske odpadne vode v Občini Sveti Jurij v Slovenskih goricah,2014,27,488,http://www.medobcinski.si/files/2014/predpisi/1418750274_MUV%2027%20%20488.pdf,
Sv. Jurij v Slov. Goricah,Pitna voda,,MUV,Odlok o načinu opravljanja lokalne gospodarske javne službe oskrbe s pitno vodo v Občini Sv. Jurij v Slov. Goricah,2014,6,97,http://www.medobcinski.si/files/2014/predpisi/1395779250_MUV%2006%202014%2097.pdf,
Sv. Jurij v Slov. Goricah,Pokopališča,,MUV,Odlok o pokopališkem redu v občini Sveti Jurij v Slovenskih goricah,2018,26,374,http://www.medobcinski.si/files/2018/predpisi/1540539774_MUV%2026%20%20%20374.pdf,
Sv. Jurij v Slov. Goricah,Plakatiranje/oglaševanje,,MUV,Odlok o plakatiranju v občini Sveti Jurij v Slovenskih goricah,2008,30,555,http://www.medobcinski.si/files/2008/predpisi/1229671410_555.pdf,
Sv. Jurij v Slov. Goricah,Turistična taksa,,MUV,Odlok o turistični in promocijski taksi v občini Sv. Jurij v Slov. Goricah,2019,18,355,http://www.medobcinski.si/files/2019/predpisi/1569822995_MUV%202019%2018%20%20%20355.pdf,
Sveta Ana,Ceste,,Uradni list RS,Odlok o kategorizaciji občinskih cest v Občini Sveta Ana,2009,33,1561,https://www.uradni-list.si/1/objava.jsp?sop=2009-01-1561,
